Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0.30435,0,0,0,0,0,0.41304,0,1,0,1
0,1,0,0.26087,0,0,0.043478,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0.6087
0,1,1,0.043478,0,0,0,0.13043,0,0.43478,0.78261
0,0.43478,1,0.021739,0,0,0,0.15217,0,1,0
0.82609,0.78261,0.65217,0,0.86957,0,0,0,0,1,1
0,1,0,0.13043,0.021739,0,0,0,0,0.3913,0
0,1,0,0,0,0,0.043478,0.91304,0.8913,0.3913,0.34783
0,0,0,0.21739,0.36957,0,0,0.043478,0.52174,1,0.043478
0,0,0.15217,0,0,0,0.086957,0,0.17391,1,0.52174
1,0,0,0,0,0,1,0,0.26087,1,0.47826
0.91304,0,0,0,0.32609,0.73913,0,0,1,0,0
1,0,0,0,0,0.51111,0,0,1,0,0.53333
0.75556,0,0,0.37778,0,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0.2,0.24444,1
0,0,0,0.066667,0,1,0.26667,0,0,0.6,1
0,0.28889,0,0.11111,0,0.75556,0.044444,0,0,0.46667,1
0.6,0,0,0.82222,0,0,0,0,0,0,0.75556
0.82222,0,0.64444,1,0,0,0,0,0,0.31111,0.33333
1,0,0,1,0,0,0,0.044444,0,0.22222,1
0.42222,0,0.51111,1,0,0,0,0,0.044444,0,1
1,0.55556,1,1,0,0.64444,0,0.57778,0.066667,0,1
0.48889,0.11111,1,1,0,0.044444,0,0,0.17778,0,0.51111
0,1,1,1,0.088889,1,0,0.51111,0.088889,0.91111,1
0.35556,1,0,1,0,0.22222,1,1,0.88889,0.17778,1
0.48889,0.24444,0,0.46667,0,0,1,0.68889,0.86667,0.48889,0.088889
0,1,0.37778,0.84444,0,0,1,0.66667,1,0,0
0,1,0,1,0,0.63636,1,0,0.45455,0,0.11364
0.5,1,0,1,0,0,1,0,0.88636,0,0
1,0.18182,0,0.22727,0,0,0.36364,0,1,0,0
1,0.5,0,0,0.70455,0.45455,0,0.47727,1,0,0.95455
1,0,0,0,0.18182,0,0,1,1,1,0
1,0,0,0,0,0,0,0.29545,0,1,0
0,0,0,1,0.27273,0,1,0.90909,0,0,0
0,1,0.090909,0.86364,0,0,0.68182,0.25,0,0,0
0,1,0,0.5,0,0,0,0.47727,0,0,0.22727
0,0,0.90909,0,0.22727,0,0.13636,0,0,0,0.63636
0,0,0.5,0.63636,0,0.31818,0,1,0,0,0.34091
0,0,0.86364,0.13636,0.36364,0.81818,0.069767,0,0,0,0.36364
0,0,1,0.093023,0,0.13953,0.48837,0,0,0,0.23256
0.7907,0,1,0.23256,0,0,0.51163,0.18605,0,0,0
1,0,1,1,0,0,0.093023,0,0,0,0
0.60465,0,0.90698,1,0,0.37209,1,0,0.093023,0,0.83721
0.51163,0,0,0.53488,0,0,0,0,0,0,1
0.60465,0.51163,0,0,0.13953,0.4186,0,0,0,0,0.51163
0.88372,1,1,0,0,0.4186,0.60465,0,1,0,0.67442
0,1,0.39535,0,0,0.60465,0.23256,0.18605,1,0,0
0,0,1,0,1,1,0,0.095238,0.30233,0,0.40476
0.66667,0,1,0.02381,0.60465,0.40476,0,0,0,0,1
0.85714,0,0,0,1,0,0.19048,0,0.095238,1,1
